,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
4881,Ing-Ray Chen,Virginia Tech,Mobile Computing,National Taiwan University,University of Houston,0,0,0,0
4882,Jia-Bin Huang,Virginia Tech,Computer Vision,National Chiao Tung University,University of Illinois at Urbana-Champaign,0,5,5,0
4883,Jiepu Jiang,Virginia Tech,Algorithms & Complexity,Wuhan University,University of Pittsburgh,0,32,32,0
4884,Jin-Hee Cho,Virginia Tech,Algorithms & Complexity,Ewha Womans University,Virginia Tech,0,32,32,0
4885,Kirk W. Cameron,Virginia Tech,High-Performance Computing,University of Florida,Louisiana State University,0,7,7,0
4886,Kurt Luther,Virginia Tech,Human-Computer Interaction,Purdue University,Georgia Institute of Technology,0,21,21,0
4887,Layne T. Watson,Virginia Tech,Scientific Computing,University of Evansville,University of Michigan,0,7,7,0
4888,Lenwood S. Heath,Virginia Tech,Algorithms & Complexity,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,0,32,32,0
4889,Liqing Zhang,Virginia Tech,Comp. Bio & Bioinformatics,Lanzhou University,"University of California, Irvine",0,2,2,0
4890,Matthew Hicks,Virginia Tech,Computer Security,University of Central Florida,University of Illinois at Urbana-Champaign,0,31,31,0
4891,Na Meng,Virginia Tech,Algorithms & Complexity,Northeastern University,University of Texas at Austin,0,32,32,0
4892,Naren Ramakrishnan,Virginia Tech,Machine Learning & Data Mining,Purdue University,Purdue University,0,25,25,0
4893,Osman Balci,Virginia Tech,Software Engineering,Boğaziçi University,Syracuse University,0,12,12,0
4894,R. Sharathkumar,Virginia Tech,Algorithms & Complexity,"International Institute of Information Technology, Hyderabad",Duke University,0,32,32,0
4895,Sang Won Lee,Virginia Tech,Human-Computer Interaction,Seoul National University,University of Michigan,0,21,21,0
4896,Sharath Raghvendra,Virginia Tech,,,Moscow Institute of Physics and Technology,0,0,0,2
4897,Stephen H. Edwards,Virginia Tech,Software Engineering,California Institute of Technology,Ohio State University,0,12,12,0
4898,Steve H. Harrison,Virginia Tech,Algorithms & Complexity,"University of California, Berkeley","University of California, Berkeley",0,32,32,0
4899,T. M. Murali,Virginia Tech,Comp. Bio & Bioinformatics,Indian Institute of Technology Madras,Brown University,0,2,2,0
4900,Tanushree Mitra,Virginia Tech,Algorithms & Complexity,Sikkim Manipal Institute of Technology,Georgia Institute of Technology,0,32,32,0
4901,Wenjing Lou,Virginia Tech,Computer Security,Xi'an Jiaotong University,University of Florida,0,31,31,0
4902,Wu-Chun Feng,Virginia Tech,High-Performance Computing,Pennsylvania State University,University of Illinois at Urbana-Champaign,0,7,7,0
4903,Xun Jian,Virginia Tech,Computer Architecture,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,2,2,0
4904,Yang Cao,Virginia Tech,Computer Graphics,University of Science and Technology of China,"University of California, Santa Barbara",0,14,14,0
4905,Yang Yi,Virginia Tech,Artificial Intelligence,Shanghai Jiao Tong University,Texas A&M University,0,2,2,0
4906,Adam Hahn,Washington State University,Scientific Computing,University of Northern Iowa,Iowa State University,0,7,7,0
4907,Ahmed Abu-Hajar,Washington State University,Computer Architecture,University of Idaho,University of South Florida,0,2,2,0
4908,Ali Mehrizi-Sani,Washington State University,Embedded & Real-Time Systems,Sharif University of Technology,University of Toronto,0,14,14,0
4909,Ali Saberi,Washington State University,Computer Education,University of Tehran,Michigan State University,0,4,4,0
4910,Anamika Dubey,Washington State University,Scientific Computing,Indian Institute of Technology Roorkee,University of Texas at Austin,0,7,7,0
4911,Ananth Kalyanaraman,Washington State University,Computer Education,"Visvesvaraya National Institute of Technology, Nagpur",Iowa State University,0,4,4,0
4912,Andrew O'Fallon,Washington State University,Software Engineering,Washington State University,,0,12,12,1
4913,Anjan Bose,Washington State University,Computer Education,Indian Institute of Technology Kanpur,Iowa State University,0,4,4,0
4914,Anurag K. Srivastava,Washington State University,Embedded & Real-Time Systems,,Illinois Institute of Technology,0,14,14,1
4915,Aravind Sukumaran Rajam,Washington State University,Algorithms & Complexity,Sree Chitra Thirunal College of Engineering,University of Strasbourg,0,32,32,0
4916,Assefaw H. Gebremedhin,Washington State University,Scientific Computing,University of Bergen,University of Bergen,0,7,7,0
4917,Behrooz A. Shirazi,Washington State University,Computer Architecture,,University of Oklahoma,0,2,2,1
4918,Benjamin Belzer,Washington State University,Computer Networks,"University of California, San Diego","University of California, Los Angeles",0,34,34,0
4919,Bolong Zeng,Washington State University,Software Engineering,Tsinghua University,Washington State University,0,12,12,0
4920,Bryan David Minor,Washington State University,,,,0,0,0,3
4921,Carl H. Hauser,Washington State University,Computer Education,Wayne State University,Cornell University,0,4,4,0
4922,Chen-Ching Liu,Washington State University,Computer Education,Amirkabir University of Technology,American University,0,4,4,0
4923,Chris Hundhausen,Washington State University,Computer Education,Lawrence University,University of Oregon,0,4,4,0
4924,Dae Hyun Kim,Washington State University,Computer Education,Seoul National University,Georgia Institute of Technology,0,4,4,0
4925,Dave Bakken,Washington State University,High-Performance Computing,Washington State University,University of Arizona,0,7,7,0
4926,Deuk Heo,Washington State University,Computer Education,,Georgia Institute of Technology,0,4,4,1
4927,Diane J. Cook,Washington State University,Artificial Intelligence,Whitman College,University of Illinois at Urbana-Champaign,0,2,2,0
4928,Haipeng Cai,Washington State University,Software Engineering,Wuhan University,University of Notre Dame,0,12,12,0
4929,Hassan Ghasemzadeh,Washington State University,Computer Networks,,University of Texas at Dallas,0,34,34,1
4930,Jacob Murray,Washington State University,,Washington State University,Washington State University,0,0,0,1
4931,Janardhan Rao Doppa,Washington State University,Computer Education,Andhra University,Andhra University,0,4,4,0
4932,Javier Guerrero,Washington State University,,,,0,0,0,3
4933,Jing Xie,Washington State University,,Tongji University,University College Dublin,0,0,0,1
4934,John Miller,Washington State University,,,,0,0,0,3
4935,John Schneider,Washington State University,Computer Education,Tulane University,University of Washington,0,4,4,0
4936,José G. Delgado-Frias,Washington State University,Computer Education,National Autonomous University of Mexico,Texas A&M University,0,4,4,0
4937,KC Wang,Washington State University,Computer Education,National Taiwan University,Northwestern University,0,4,4,0
4938,Krishnamoorthy Sivakumar,Washington State University,Machine Learning & Data Mining,Indian Institute of Technology Bombay,Johns Hopkins University,0,25,25,0
4939,Larry B. Holder,Washington State University,Computer Education,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,4,4,0
4940,Li Tan,Washington State University,The Web & Information Retrieval,Fudan University,Stony Brook University,0,0,0,0
4941,Noel Schulz,Washington State University,Computer Architecture,Virginia Tech,University of Minnesota,0,2,2,0
4942,Partha Pratim Pande,Washington State University,Computer Education,University of Calcutta,University of British Columbia,0,4,4,0
4943,Patrick D. Pedrow,Washington State University,Computer Education,University of Idaho,Cornell University,0,4,4,0
4944,Robert G. Olsen,Washington State University,Computer Education,Rutgers University,University of Colorado Boulder,0,4,4,0
4945,Robert M. Rioux,Washington State University,,,,0,0,0,3
4946,Robert R. Lewis,Washington State University,Computer Education,Harvey Mudd College,University of British Columbia,0,4,4,0
